game_id,game_date,player_id,player_full_name,player_team_id,player_team_name,home_team,opponent_team_id,opponent_team_name,points,rebounds,assists,steals,blocks,fg_percentage,minutes_played
1,2018-05-15,2,Stephen Curry,10,Golden State Warriors,False,11,Houston Rockets,31,6,6,4,3,0.507,34.5
2,2009-03-31,2,Stephen Curry,10,Golden State Warriors,False,15,Memphis Grizzlies,27,13,10,1,0,0.425,39.3
3,2019-07-18,5,Nikola Jokic,8,Denver Nuggets,False,10,Golden State Warriors,12,10,5,1,0,0.404,35.2
4,2007-02-23,9,Kawhi Leonard,13,LA Clippers,False,2,Boston Celtics,35,15,8,2,0,0.549,38.2
5,2024-10-20,10,Russell Westbrook,8,Denver Nuggets,False,13,LA Clippers,24,4,4,0,0,0.474,32.8
6,2014-12-01,6,Luka Doncic,14,Los Angeles Lakers,True,2,Boston Celtics,32,12,6,3,3,0.468,37.5
7,2022-01-09,4,Jaylen Brown,2,Boston Celtics,True,27,San Antonio Spurs,21,15,8,0,2,0.452,37.0
8,2022-02-25,3,Jayson Tatum,2,Boston Celtics,False,21,Oklahoma City Thunder,18,9,6,4,2,0.577,32.9
9,2009-09-19,10,Russell Westbrook,8,Denver Nuggets,True,30,Washington Wizards,28,6,3,5,2,0.483,31.4
10,2011-03-20,5,Nikola Jokic,8,Denver Nuggets,False,9,Detroit Pistons,22,12,4,5,3,0.487,39.6
11,2010-10-28,9,Kawhi Leonard,13,LA Clippers,True,18,Minnesota Timberwolves,25,6,5,3,2,0.574,36.4
12,2010-04-09,9,Kawhi Leonard,13,LA Clippers,True,12,Indiana Pacers,14,7,9,4,3,0.535,36.1
13,2025-06-03,7,Kyrie Irving,7,Dallas Mavericks,True,4,Charlotte Hornets,28,11,8,3,1,0.465,31.9
14,2012-08-17,7,Kyrie Irving,7,Dallas Mavericks,True,6,Cleveland Cavaliers,31,12,7,2,3,0.574,37.2
15,2015-10-17,9,Kawhi Leonard,13,LA Clippers,False,14,Los Angeles Lakers,34,6,4,5,3,0.452,38.6
