game_id,game_date,player_id,player_full_name,player_team_id,player_team_name,home_team,opponent_team_id,opponent_team_name,points,rebounds,assists,steals,blocks,fg_percentage,minutes_played
1,2015-08-23,9,Kawhi Leonard,13,LA Clippers,False,24,Phoenix Suns,23,15,8,1,2,0.451,31.0
2,2023-08-07,1,LeBron James,14,Los Angeles Lakers,False,26,Sacramento Kings,29,5,9,5,3,0.502,31.0
3,2006-11-15,10,Russell Westbrook,8,Denver Nuggets,False,3,Brooklyn Nets,27,8,9,5,0,0.571,37.1
4,2011-07-24,3,Jason Tatum,2,Boston Celtics,True,25,Portland Trail Blazers,22,4,8,5,0,0.442,33.4
5,2009-12-26,3,Jason Tatum,2,Boston Celtics,False,9,Detroit Pistons,32,8,7,2,2,0.467,37.2
6,2010-07-28,2,Stephen Curry,10,Golden State Warriors,True,8,Denver Nuggets,15,7,4,5,2,0.441,31.6
7,2016-10-08,1,LeBron James,14,Los Angeles Lakers,False,13,LA Clippers,21,15,6,2,1,0.532,39.9
8,2005-05-17,8,Anthony Davis,7,Dallas Mavericks,False,4,Charlotte Hornets,24,4,6,5,2,0.507,33.9
9,2013-02-13,1,LeBron James,14,Los Angeles Lakers,False,13,LA Clippers,35,14,8,4,0,0.414,40.1
10,2013-01-05,2,Stephen Curry,10,Golden State Warriors,True,2,Boston Celtics,13,11,7,4,1,0.543,37.0
11,2007-06-17,3,Jason Tatum,2,Boston Celtics,False,25,Portland Trail Blazers,27,10,7,5,2,0.512,31.3
12,2011-02-05,9,Kawhi Leonard,13,LA Clippers,True,10,Golden State Warriors,19,5,8,1,2,0.401,31.1
13,2016-12-20,5,Nikola Jokic,8,Denver Nuggets,False,24,Phoenix Suns,13,6,6,2,1,0.423,35.1
14,2003-03-30,1,LeBron James,14,Los Angeles Lakers,False,29,Utah Jazz,17,3,10,3,1,0.409,38.5
15,2020-04-05,5,Nikola Jokic,8,Denver Nuggets,True,6,Cleveland Cavaliers,20,3,3,4,3,0.496,31.7
16,2014-09-23,7,Kyrie Irving,7,Dallas Mavericks,False,16,Miami Heat,14,14,5,4,3,0.515,31.8
17,2006-02-23,8,Anthony Davis,7,Dallas Mavericks,False,28,Toronto Raptors,12,8,6,4,0,0.525,30.1
18,2019-04-08,4,Jaylen Brown,2,Boston Celtics,False,7,Dallas Mavericks,32,10,7,5,0,0.405,34.1
19,2016-03-12,5,Nikola Jokic,8,Denver Nuggets,True,22,Orlando Magic,32,14,5,1,2,0.447,34.6
20,2020-08-22,10,Russell Westbrook,8,Denver Nuggets,False,7,Dallas Mavericks,21,8,10,0,0,0.544,38.0
21,2025-03-08,3,Jason Tatum,2,Boston Celtics,True,10,Golden State Warriors,27,8,3,1,3,0.57,33.2
22,2009-06-08,3,Jason Tatum,2,Boston Celtics,False,4,Charlotte Hornets,29,12,7,5,3,0.433,35.6
23,2008-10-26,1,LeBron James,14,Los Angeles Lakers,False,15,Memphis Grizzlies,36,5,3,5,1,0.421,34.4
24,2006-10-09,1,LeBron James,14,Los Angeles Lakers,True,11,Houston Rockets,20,3,10,1,2,0.585,33.1
25,2018-02-11,4,Jaylen Brown,2,Boston Celtics,False,27,San Antonio Spurs,12,10,10,1,2,0.407,40.0
26,2019-02-13,9,Kawhi Leonard,13,LA Clippers,True,26,Sacramento Kings,26,8,9,3,3,0.455,31.2
27,2021-02-20,5,Nikola Jokic,8,Denver Nuggets,False,21,Oklahoma City Thunder,18,4,8,5,1,0.453,33.2
28,2016-11-04,2,Stephen Curry,10,Golden State Warriors,True,28,Toronto Raptors,37,10,4,5,2,0.457,37.6
29,2006-08-06,1,LeBron James,14,Los Angeles Lakers,False,28,Toronto Raptors,27,9,8,2,3,0.446,38.0
30,2015-02-13,4,Jaylen Brown,2,Boston Celtics,False,28,Toronto Raptors,16,4,5,5,1,0.581,33.7
31,2009-07-23,10,Russell Westbrook,8,Denver Nuggets,True,21,Oklahoma City Thunder,15,11,6,5,1,0.51,40.6
32,2005-11-09,5,Nikola Jokic,8,Denver Nuggets,True,5,Chicago Bulls,17,10,9,4,0,0.569,39.1
33,2016-06-26,10,Russell Westbrook,8,Denver Nuggets,True,19,New Orleans Pelicans,27,13,3,2,2,0.574,40.8
34,2002-06-23,8,Anthony Davis,7,Dallas Mavericks,False,6,Cleveland Cavaliers,15,14,8,4,0,0.502,31.5
35,2003-04-30,10,Russell Westbrook,8,Denver Nuggets,False,14,Los Angeles Lakers,30,6,9,5,0,0.434,35.6
36,2021-03-03,2,Stephen Curry,10,Golden State Warriors,True,30,Washington Wizards,36,15,8,4,1,0.522,36.2
37,2012-12-26,8,Anthony Davis,7,Dallas Mavericks,False,18,Minnesota Timberwolves,28,3,10,0,2,0.536,37.0
38,2009-10-15,7,Kyrie Irving,7,Dallas Mavericks,True,17,Milwaukee Bucks,31,5,8,2,2,0.526,37.1
39,2018-09-14,1,LeBron James,14,Los Angeles Lakers,False,6,Cleveland Cavaliers,21,7,7,4,3,0.467,36.2
40,2013-09-29,3,Jason Tatum,2,Boston Celtics,True,26,Sacramento Kings,37,9,10,1,0,0.433,36.0
41,2006-10-28,6,Luka Doncic,14,Los Angeles Lakers,False,3,Brooklyn Nets,40,9,7,1,0,0.538,36.0
42,2012-01-01,3,Jason Tatum,2,Boston Celtics,False,10,Golden State Warriors,19,9,4,2,0,0.584,40.6
43,2017-02-11,1,LeBron James,14,Los Angeles Lakers,False,20,New York Knicks,33,4,5,1,2,0.461,38.5
44,2024-11-02,6,Luka Doncic,14,Los Angeles Lakers,False,23,Philadelphia 76ers,20,3,9,2,0,0.417,39.7
45,2013-08-01,2,Stephen Curry,10,Golden State Warriors,False,30,Washington Wizards,36,6,10,5,2,0.416,36.5
46,2013-09-02,2,Stephen Curry,10,Golden State Warriors,True,5,Chicago Bulls,33,14,5,5,2,0.438,31.0
47,2011-06-26,6,Luka Doncic,14,Los Angeles Lakers,False,3,Brooklyn Nets,28,5,5,0,3,0.419,32.6
48,2004-10-23,7,Kyrie Irving,7,Dallas Mavericks,True,11,Houston Rockets,29,6,8,2,0,0.593,36.6
49,2024-06-27,9,Kawhi Leonard,13,LA Clippers,True,15,Memphis Grizzlies,25,7,5,0,0,0.499,33.9
50,2008-11-29,3,Jason Tatum,2,Boston Celtics,False,12,Indiana Pacers,40,6,10,5,0,0.48,40.1
51,2008-12-27,3,Jason Tatum,2,Boston Celtics,True,9,Detroit Pistons,23,13,3,1,0,0.417,38.2
52,2004-03-21,5,Nikola Jokic,8,Denver Nuggets,True,16,Miami Heat,15,8,4,0,2,0.443,39.4
53,2002-07-06,6,Luka Doncic,14,Los Angeles Lakers,False,24,Phoenix Suns,34,14,10,0,3,0.49,36.6
54,2010-04-03,4,Jaylen Brown,2,Boston Celtics,False,20,New York Knicks,35,13,5,2,1,0.543,34.9
55,2016-04-29,9,Kawhi Leonard,13,LA Clippers,True,8,Denver Nuggets,15,3,9,4,2,0.466,38.9
56,2002-02-15,5,Nikola Jokic,8,Denver Nuggets,False,13,LA Clippers,25,14,8,5,2,0.432,39.0
57,2023-05-31,4,Jaylen Brown,2,Boston Celtics,False,17,Milwaukee Bucks,11,15,3,3,3,0.573,39.3
58,2013-04-20,4,Jaylen Brown,2,Boston Celtics,False,4,Charlotte Hornets,33,13,8,0,2,0.436,37.6
59,2024-04-17,7,Kyrie Irving,7,Dallas Mavericks,True,2,Boston Celtics,40,12,7,4,2,0.484,40.7
60,2015-08-24,2,Stephen Curry,10,Golden State Warriors,False,8,Denver Nuggets,22,10,5,5,2,0.589,39.1
61,2022-09-15,8,Anthony Davis,7,Dallas Mavericks,True,27,San Antonio Spurs,40,10,8,5,0,0.53,31.4
62,2014-08-16,6,Luka Doncic,14,Los Angeles Lakers,False,15,Memphis Grizzlies,28,9,8,0,2,0.452,40.9
63,2005-07-22,3,Jason Tatum,2,Boston Celtics,True,8,Denver Nuggets,30,11,4,2,2,0.46,31.2
64,2001-05-18,2,Stephen Curry,10,Golden State Warriors,False,14,Los Angeles Lakers,12,14,4,3,2,0.546,31.3
65,2012-10-27,1,LeBron James,14,Los Angeles Lakers,True,3,Brooklyn Nets,21,5,10,3,3,0.431,39.2
66,2001-03-30,3,Jason Tatum,2,Boston Celtics,False,24,Phoenix Suns,33,10,8,4,1,0.58,31.9
67,2006-07-14,2,Stephen Curry,10,Golden State Warriors,False,7,Dallas Mavericks,11,5,5,1,1,0.551,35.8
68,2022-06-08,4,Jaylen Brown,2,Boston Celtics,False,16,Miami Heat,23,5,8,3,1,0.469,39.8
69,2020-12-07,3,Jason Tatum,2,Boston Celtics,False,10,Golden State Warriors,21,6,10,0,1,0.417,37.2
70,2011-06-17,9,Kawhi Leonard,13,LA Clippers,True,28,Toronto Raptors,33,8,3,2,2,0.598,36.6
71,2017-04-30,9,Kawhi Leonard,13,LA Clippers,True,12,Indiana Pacers,12,4,10,0,3,0.504,31.6
72,2025-02-15,4,Jaylen Brown,2,Boston Celtics,False,14,Los Angeles Lakers,18,9,9,0,0,0.403,33.2
73,2017-12-03,10,Russell Westbrook,8,Denver Nuggets,True,13,LA Clippers,22,10,7,2,1,0.58,31.8
74,2002-04-11,5,Nikola Jokic,8,Denver Nuggets,True,19,New Orleans Pelicans,24,14,6,3,0,0.523,38.3
75,2001-08-18,5,Nikola Jokic,8,Denver Nuggets,False,30,Washington Wizards,13,11,10,0,1,0.546,33.8
76,2000-07-28,7,Kyrie Irving,7,Dallas Mavericks,True,27,San Antonio Spurs,26,11,3,4,0,0.568,38.6
77,2008-03-03,2,Stephen Curry,10,Golden State Warriors,True,27,San Antonio Spurs,35,6,7,1,2,0.564,38.4
78,2016-09-26,4,Jaylen Brown,2,Boston Celtics,False,30,Washington Wizards,12,4,5,2,1,0.539,40.2
79,2006-01-02,8,Anthony Davis,7,Dallas Mavericks,False,18,Minnesota Timberwolves,11,4,6,1,3,0.575,32.9
80,2014-01-28,6,Luka Doncic,14,Los Angeles Lakers,True,21,Oklahoma City Thunder,21,12,4,4,0,0.473,37.5
81,2003-10-01,3,Jason Tatum,2,Boston Celtics,False,18,Minnesota Timberwolves,20,8,3,1,1,0.597,33.9
82,2011-05-03,6,Luka Doncic,14,Los Angeles Lakers,True,3,Brooklyn Nets,38,13,5,4,3,0.46,40.3
83,2024-07-11,5,Nikola Jokic,8,Denver Nuggets,False,21,Oklahoma City Thunder,31,8,9,5,3,0.454,36.6
84,2007-06-29,8,Anthony Davis,7,Dallas Mavericks,False,19,New Orleans Pelicans,38,10,9,4,3,0.598,39.0
85,2023-11-29,9,Kawhi Leonard,13,LA Clippers,False,3,Brooklyn Nets,35,8,7,2,3,0.421,40.1
86,2020-01-29,4,Jaylen Brown,2,Boston Celtics,True,7,Dallas Mavericks,28,11,10,4,3,0.479,38.0
87,2010-07-29,1,LeBron James,14,Los Angeles Lakers,True,25,Portland Trail Blazers,20,10,3,2,1,0.496,36.8
88,2011-09-29,10,Russell Westbrook,8,Denver Nuggets,False,29,Utah Jazz,10,3,5,2,1,0.517,34.2
89,2010-11-05,8,Anthony Davis,7,Dallas Mavericks,True,10,Golden State Warriors,14,8,9,2,0,0.415,36.2
90,2014-09-22,8,Anthony Davis,7,Dallas Mavericks,False,4,Charlotte Hornets,14,6,10,4,3,0.424,33.6
91,2018-09-26,6,Luka Doncic,14,Los Angeles Lakers,True,5,Chicago Bulls,27,13,9,1,2,0.455,33.5
92,2001-12-21,8,Anthony Davis,7,Dallas Mavericks,False,6,Cleveland Cavaliers,22,9,9,0,2,0.451,32.0
93,2023-01-22,8,Anthony Davis,7,Dallas Mavericks,True,15,Memphis Grizzlies,12,6,9,0,1,0.5,32.1
94,2007-09-26,3,Jason Tatum,2,Boston Celtics,True,12,Indiana Pacers,40,15,9,0,3,0.466,34.3
