Article Title,Date,Team,Summary,Source,Author,Tags
Blazers trade Damian Lillard to Bucks in blockbuster 3-team deal,2023-09-27,Portland Trail Blazers,"The Portland Trail Blazers traded franchise star Damian Lillard to the Milwaukee Bucks on Sept. 27, 2023, in a blockbuster three-team deal.",AP News,Tim Reynolds,Trade; Damian Lillard; Portland Trail Blazers; Milwaukee Bucks; Blockbuster Deal
Wizards send Bradley Beal to Suns in blockbuster trade,2023-06-18,Washington Wizards,"The Washington Wizards agreed to trade three-time All-Star Bradley Beal to the Phoenix Suns, receiving Chris Paul, Landry Shamet, multiple second-round picks and pick swaps in return.",ESPN,Adrian Wojnarowski,Trade; Washington Wizards; Bradley Beal; Phoenix Suns; Rebuild
Clippers land James Harden in deal with 76ers,2023-10-31,LA Clippers,The LA Clippers acquired 10-time All-Star James Harden in a blockbuster trade with the Philadelphia 76ers.,ESPN,Adrian Wojnarowski,Trade; James Harden; LA Clippers; Philadelphia 76ers; Blockbuster Trade
Suns trade Jusuf Nurkic to Hornets,2025-02-06,Phoenix Suns,"The Phoenix Suns traded center Jusuf Nurkic and a 2026 first-round pick to the Charlotte Hornets in exchange for swingman Cody Martin, guard Vasilije Micić, and a 2026 second-round pick.",Sporting News (via ESPN),Shams Charania,Trade; Phoenix Suns; Charlotte Hornets; Jusuf Nurkic; Roster Move
Kings acquire Zach LaVine in trade with Bulls,2025-02-06,Sacramento Kings,The Sacramento Kings acquired All-Star guard Zach LaVine from the Chicago Bulls at the 2025 trade deadline.,CBS Sports,Jasmyn Wimbish,Trade; Sacramento Kings; Zach LaVine; Chicago Bulls; Roster Upgrade
"Pacers trade Buddy Hield to 76ers for Morris, Korkmaz and picks",2024-02-05,Indiana Pacers,"The Indiana Pacers traded sharpshooter Buddy Hield to the Philadelphia 76ers in exchange for forward Marcus Morris Sr., swingman Furkan Korkmaz, and three second-round draft picks.",ESPN (reported),Adrian Wojnarowski,Trade; Indiana Pacers; Buddy Hield; Philadelphia 76ers; Draft Picks
"Agent: Giannis Antetokounmpo secures 3-year, $186M extension",2023-10-23,Milwaukee Bucks,"Milwaukee Bucks superstar Giannis Antetokounmpo agreed to a three-year, $186 million contract extension, including a player option for 2027-28.",ESPN,Adrian Wojnarowski,Contract Extension; Giannis Antetokounmpo; Milwaukee Bucks; Commitment; Superstar
"Magic agree to 3-year, $39 million extension with Cole Anthony",2023-10-23,Orlando Magic,"The Orlando Magic signed guard Cole Anthony to a three-year, $39 million contract extension.",ESPN,Adrian Wojnarowski,Contract Extension; Orlando Magic; Cole Anthony; Young Core; Rebuild
Sources: Knicks add PJ Tucker on 2-year deal in free agency,2024-07-02,New York Knicks,Veteran forward P.J. Tucker agreed to a two-year contract with the New York Knicks.,The Athletic,Shams Charania,Free Agency; New York Knicks; P.J. Tucker; Veteran Signing; Depth
Hawks rout Bucks 145-124 behind rookie’s career night,2025-03-30,Atlanta Hawks,The Atlanta Hawks stunned the Milwaukee Bucks 145-124 behind career nights from two young players.,Sports Illustrated,Jackson Caudell,Game Recap; Atlanta Hawks; Rookie Breakout; High-Scoring Win
Celtics have already matched last season’s loss total,2025-01-11,Boston Celtics,"The Boston Celtics suffered a stunning 114-97 home loss to the Sacramento Kings, marking Boston’s 17th defeat and already matching their entire loss total from the previous season.",Sports Illustrated,Courtney Tate,Game Recap; Boston Celtics; Upset Loss; Shooting Struggles; Regular Season
"Nets plan to use flexibility to pursue stars, with one big target in mind",2025-03-31,Brooklyn Nets,"The Brooklyn Nets are plotting to chase a superstar via trade or free agency, with sources saying Giannis Antetokounmpo remains their “Plan A” target.",New York Post,Brian Lewis,Trade Rumors; Brooklyn Nets; Roster Building; Giannis Antetokounmpo; Future Plans
"Nets pull away after LaMelo Ball leaves with ankle injury, win 97-89",2025-02-10,Charlotte Hornets,The Charlotte Hornets fell 97-89 to the Brooklyn Nets after losing star guard LaMelo Ball to another ankle injury.,Associated Press,Brian Mahoney,Injury; Charlotte Hornets; LaMelo Ball; Game Recap; Struggles
Bulls’ plans remain puzzling as trade deadline passes,2025-02-06,Chicago Bulls,Another NBA trade deadline passed with the Chicago Bulls refusing to fully rebuild despite lingering mediocrity.,CBS Sports,Jasmyn Wimbish,Trade Deadline; Chicago Bulls; Rebuild Uncertainty; Zach LaVine; Lonzo Ball
